id,name,text,summary,score
1,demonreader,"I have a 1 year old Rottweiler (88 pounds) and a 7 year old cat (10 pounds).  We had had smaller drinking fountains for the cat because she really likes running water.  We graduated to a larger one when we got the puppy a year ago, because we didn't want to take away the running water, and the small one just would not do.  As the dog grew, we moved to this one, because, well, she is a big dog.  This dish allows them both to share.  The dog is a messy drinker, so we have the mat that goes underneath, and have the whole thing on a rubber backed water soak up rug.  She also puts all sorts of stuff in the water, from toys to crumbs.  The filter and the running stream allow the pickier cat to use the same container.  Refilling is easy.  Cleaning isn't that hard ( I do it, or, better, have it done once a week).  The noise doesn't disturb us, or the animals.  If I notice it, then I know that it is time to add water.  We have it between the kitchen and the breakfast room, where we pass it constantly, so maybe we are just used to it.  We have had this for almost 5 months now and both of our girls like it just fine. I would have to say that if/when it goes out, we'll get another one.",my animals like it,5
2,emerald,"This is honestly the best toy i've ever found for my little pug. He absolutely loves his snugga wubba. It is definitely mandantory in my house when he goes to bed at night. he will play with it then settle down and snuggle on it and go to sleep.this one was ordered to replace another one. my lab got to the last one and it took him about 2 mins to demolish it. its not durable for bigger dogs who are very hard on toys. but my pug has not been able to inflict any damage to it and he had the last one since last year about a month before Christmas. i ordered it on a lightening deal. so almost a year and it was still in perfect condition after him biting it and scratching at it.i had purchased the kong animal ones as well. soft and the nylon ones. same story, my little babies do great with them but once my lab found them in the house,less than 2 mins to demolish them.overall a great toy for dogs that are medium to low chewers, but unfortunately not durable for bigger dogs that are very hard on toys.",Best toy for my pug i've ever purchased!,5
3,"""Shesinstpete33710 \""Shesin\""""","My cat is 14 years old and has a problem with arthritis.  I found her drinking water one day out of a small pitcher I had placed on the floor while I opened an door to go out and water plants.  It was obvious it was easier for her standing up and not trying to lean over to drink.  Hence finding these feeders and the extension legs to go with.  I purchased two of the feeders and sets of legs and have to say, fantastic!! She took to them immediately and I can tell the difference with her not having to bend so far.  These are a fantastic idea.  Kudos!!",Double WOW!,5
4,C. Ostrowski,"I love these nail clippers! I've had quite a few, hate the guillotine ones... love these. I bought them because the grip looked good, and it is good. I have very small hands and I can use them with no problem and they don't slip. The one thing I don't like is the guard, because it gets in my way because I don't use it. But I suppose if you were worried about how you clip the nails, it could come in handy. I try to use it often and just take off the very tips of the nails. Good price too.","Love these nail clippers! (my dog doesn't, but then, he hates having his nails done!)",5
5,Jason Hotch,These are the perfect small size for training with a large size breed. They are moist and delicious and the dog loves them. We've ordered two bags now.,These are the perfect small size for training with a large size breed,5
6,jd,this replaced my old fluorescent fixture and all I can say is WOW!  no dead leds and everything seems very solid.  This is a quality built light fixture and seems like it should last.  I am definitely going to order more for my other aquariums.  The Finnex brand absolutely has my vote.,let there be light,5
7,Mary Ann,"As the current owner of two pad-trained older dogs, I know a great deal about 'puppy' pads, and usually buy bags of 100 in the conventional size for about $.25 a piece. These larger pads work extremely well, especially in spots where I sometimes put down two conventional pads overlapping (a situation asking for trouble, but necessary).  The price is also competitive, considering that one pad is doing the work of two.  Not only is the pad part larger, but the edge is wider, too, which is helpful. The dogs did not hesitate to use the new 'different' pad, which was a question, prior to introduction.",Truly extra large,5
8,Dinah Wiggins,"I like it I think it worked pretty well and was super easy to clean!  I think Eheim could make different size bottom attachments.  My one aquarium is only 12 1/2 inches deep and I had to lean it a couple times to make it work just right but a shorter bottom attachment would totally help.  Overall I would recommend it, not sure how long it will last and it does seem a bit pricey for what it is.",Worked Well,5
9,"""J. Menard \""Book Lover\""""",When my grandaughter was little I purchased these fish that she wanted so bad and now years later I still have them so I always have fed the TetraMin.,Love my  fish,4
10,barbara houser,"This is  the best ever tool for de matting my golden doodles tight curly hair!! we no longer have to shave all the hair off of him because the mats were so bad, even tho I had brushed him everyday.  It took me about 4 hours to get all the mats out  with this tool, he was relaxed and I  could tell it did not hurt him. afterwards I used a great smoothing tool and he has been looking fabulous ever since. I only need to do a small bit of dematting about 1 time per week. I highly recomment this dograke!!",Dematting Rake,5
